,ano,casa,visitante,gols_casa,gols_visitante,torneio,cidade,pais,neutro,vencedor,vencedor_m,total_gols
37431,2015,Cameroon,Mauritania,1,0,African Cup of Nations qualification,Yaoundé,Cameroon,False,Cameroon,casa,1
37432,2015,Colombia,Venezuela,0,1,Copa América,Rancagua,Chile,True,Venezuela,visitante,1
37434,2015,DR Congo,Madagascar,2,1,African Cup of Nations qualification,Kinshasa,DR Congo,False,DR Congo,casa,3
37436,2015,Egypt,Tanzania,3,0,African Cup of Nations qualification,Alexandria,Egypt,False,Egypt,casa,3
37438,2015,Estonia,San Marino,2,0,UEFA Euro qualification,Tallinn,Estonia,False,Estonia,casa,2
37439,2015,Ethiopia,Lesotho,2,1,African Cup of Nations qualification,Addis Ababa,Ethiopia,False,Ethiopia,casa,3
37441,2015,Ghana,Mauritius,7,1,African Cup of Nations qualification,Accra,Ghana,False,Ghana,casa,8
37443,2015,Lithuania,Switzerland,1,2,UEFA Euro qualification,Vilnius,Lithuania,False,Switzerland,visitante,3
37444,2015,Mozambique,Rwanda,0,1,African Cup of Nations qualification,Maputo,Mozambique,False,Rwanda,visitante,1
37445,2015,Niger,Namibia,1,0,African Cup of Nations qualification,Niamey,Niger,False,Niger,casa,1
37446,2015,Russia,Austria,0,1,UEFA Euro qualification,Moscow,Russia,False,Austria,visitante,1
37447,2015,Slovakia,North Macedonia,2,1,UEFA Euro qualification,Žilina,Slovakia,False,Slovakia,casa,3
37448,2015,Slovenia,England,2,3,UEFA Euro qualification,Ljubljana,Slovenia,False,England,visitante,5
37449,2015,Sudan,Sierra Leone,1,0,African Cup of Nations qualification,Khartoum,Sudan,False,Sudan,casa,1
37450,2015,Sweden,Montenegro,3,1,UEFA Euro qualification,Solna,Sweden,False,Sweden,casa,4
37451,2015,Togo,Liberia,2,1,African Cup of Nations qualification,Lomé,Togo,False,Togo,casa,3
37452,2015,Ukraine,Luxembourg,3,0,UEFA Euro qualification,Lviv,Ukraine,False,Ukraine,casa,3
37453,2015,Belize,Dominican Republic,3,0,FIFA World Cup qualification,Belmopan,Belize,False,Belize,casa,3
37455,2015,Antigua and Barbuda,Saint Lucia,4,1,FIFA World Cup qualification,North Sound,Antigua and Barbuda,False,Antigua and Barbuda,casa,5
37457,2015,Ecuador,Bolivia,2,3,Copa América,Valparaíso,Chile,True,Bolivia,visitante,5
37459,2015,Bermuda,Guatemala,0,1,FIFA World Cup qualification,Devonshire,Bermuda,False,Guatemala,visitante,1
37460,2015,Argentina,Uruguay,1,0,Copa América,La Serena,Chile,True,Argentina,casa,1
37462,2015,Bhutan,China PR,0,6,FIFA World Cup qualification,Thimphu,Bhutan,False,China PR,visitante,6
37463,2015,Myanmar,South Korea,0,2,FIFA World Cup qualification,Bangkok,Thailand,True,South Korea,visitante,2
37464,2015,Cambodia,Afghanistan,0,1,FIFA World Cup qualification,Phnom Penh,Cambodia,False,Afghanistan,visitante,1
37465,2015,Timor-Leste,United Arab Emirates,0,3,FIFA World Cup qualification,Shah Alam,Malaysia,True,United Arab Emirates,visitante,3
37466,2015,Grenada,Puerto Rico,2,0,FIFA World Cup qualification,St. George's,Grenada,False,Grenada,casa,2
37467,2015,Guam,India,2,1,FIFA World Cup qualification,Dededo,Guam,False,Guam,casa,3
37468,2015,Hong Kong,Maldives,2,0,FIFA World Cup qualification,Kowloon,Hong Kong,False,Hong Kong,casa,2
37469,2015,Italy,Portugal,0,1,Friendly,Geneva,Switzerland,True,Portugal,visitante,1
37471,2015,Jordan,Trinidad and Tobago,3,0,Friendly,Irbid,Jordan,False,Jordan,casa,3
37472,2015,North Korea,Uzbekistan,4,2,FIFA World Cup qualification,Pyongyang,North Korea,False,North Korea,casa,6
37473,2015,Kyrgyzstan,Australia,1,2,FIFA World Cup qualification,Bishkek,Kyrgyzstan,False,Australia,visitante,3
37474,2015,Laos,Lebanon,0,2,FIFA World Cup qualification,Vientiane,Laos,False,Lebanon,visitante,2
37475,2015,Malaysia,Palestine,0,6,FIFA World Cup qualification,Kuala Lumpur,Malaysia,False,Palestine,visitante,6
37476,2015,Paraguay,Jamaica,1,0,Copa América,Antofagasta,Chile,True,Paraguay,casa,1
37478,2015,South Africa,Angola,2,1,Friendly,Cape Town,South Africa,False,South Africa,casa,3
37479,2015,Suriname,Nicaragua,1,3,FIFA World Cup qualification,Paramaribo,Suriname,False,Nicaragua,visitante,4
37481,2015,Yemen,Philippines,0,2,FIFA World Cup qualification,Doha,Qatar,True,Philippines,visitante,2
37482,2015,Canada,Dominica,4,0,FIFA World Cup qualification,Toronto,Canada,False,Canada,casa,4
37483,2015,El Salvador,Saint Kitts and Nevis,4,1,FIFA World Cup qualification,San Salvador,El Salvador,False,El Salvador,casa,5
37484,2015,Taiwan,Thailand,0,2,FIFA World Cup qualification,Taipei,Taiwan,False,Thailand,visitante,2
37485,2015,Brazil,Colombia,0,1,Copa América,Santiago,Chile,True,Colombia,visitante,1
37486,2015,Székely Land,County of Nice,2,3,CONIFA European Football Cup,Debrecen,Hungary,False,County of Nice,visitante,5
37487,2015,Padania,Romani people,3,2,CONIFA European Football Cup,Debrecen,Hungary,True,Padania,casa,5
37488,2015,Peru,Venezuela,1,0,Copa América,Valparaíso,Chile,True,Peru,casa,1
37489,2015,Székely Land,Felvidék,1,3,CONIFA European Football Cup,Debrecen,Hungary,False,Felvidék,visitante,4
37490,2015,Romani people,Ellan Vannin,1,3,CONIFA European Football Cup,Debrecen,Hungary,True,Ellan Vannin,visitante,4
37491,2015,Chile,Bolivia,5,0,Copa América,Santiago,Chile,False,Chile,casa,5
37492,2015,Mexico,Ecuador,1,2,Copa América,Rancagua,Chile,True,Ecuador,visitante,3
37493,2015,Felvidék,County of Nice,1,4,CONIFA European Football Cup,Debrecen,Hungary,True,County of Nice,visitante,5
37494,2015,Padania,Ellan Vannin,1,0,CONIFA European Football Cup,Debrecen,Hungary,True,Padania,casa,1
37495,2015,Székely Land,Romani people,2,4,CONIFA European Football Cup,Debrecen,Hungary,False,Romani people,visitante,6
37496,2015,Argentina,Jamaica,1,0,Copa América,Viña del Mar,Chile,True,Argentina,casa,1
37497,2015,Mozambique,Seychelles,5,1,African Nations Championship,Beira,Mozambique,False,Mozambique,casa,6
37498,2015,Senegal,Gambia,3,1,African Nations Championship,Dakar,Senegal,False,Senegal,casa,4
37499,2015,South Africa,Mauritius,3,0,African Nations Championship,Johannesburg,South Africa,False,South Africa,casa,3
37500,2015,Tanzania,Uganda,0,3,African Nations Championship,Zanzibar,Tanzania,False,Uganda,visitante,3
37502,2015,County of Nice,Ellan Vannin,3,1,CONIFA European Football Cup,Debrecen,Hungary,True,County of Nice,casa,4
37503,2015,Padania,Felvidék,5,0,CONIFA European Football Cup,Debrecen,Hungary,True,Padania,casa,5
37504,2015,Brazil,Venezuela,2,1,Copa América,Santiago,Chile,True,Brazil,casa,3
37506,2015,Djibouti,Burundi,1,2,African Nations Championship,Djibouti,Djibouti,False,Burundi,visitante,3
37507,2015,Ethiopia,Kenya,2,0,African Nations Championship,Bahir Dar,Ethiopia,False,Ethiopia,casa,2
37509,2015,Mauritania,Sierra Leone,2,1,African Nations Championship,Nouakchott,Mauritania,False,Mauritania,casa,3
